SKU,Barcode,Name,Price
1,731199033318,"Carbon Premiun ""el alargue""",2800
2,7804653341045,"Papel Higienico 6 rollos 20metros ""Swan""",1500
3,7806500508335,"Papel Higienico 6 rollos 23metros ""Noble""",1500
4,7806500505006,"PH 2 rollos 30metros ""Confort""",1500
5,7809604026644,"PH 6 rollos ""Scott""",1800
6,7806500406389,"Toalla Papel 100metros ""Abolengo""",2800
7,7806500406860,"Toalla Papel 70metros ""Nova""",2800
8,661094233585,"Servilletas 300 ""Giulietta""",1500
9,7806500406709,"Toalla Papel 3 rollos Clasica ""Nova""",1400
10,7806540004569,"Toalla Papel 2 rollos 24metros ""Tork""",1600
11,7805364712575,"Alguicida 5litros ""Tekom""",5500
12,606110405928,"Cera Pintura Premium 5litros ""Gabriel""",6990
13,606110405829,"Antigrasa 5litros ""Gabriel""",6990
14,606110406079,"Limpiaparabrisas 5l ""Gabriel""",0
15,7805045000120,"Detergente liquido 3l ""Popeye""",13500
16,7804920280695,"Suavizante 1l ""Fuzol""",1500
17,7804920283030,"Limpiador baño 1l ""Fuzol""",1500
18,7804920012166,"Jabon liquido Arandano 750ml ""Ballerina""",1500
19,7804920003065,"Jabon liquido Aceite de coco y Jazmin 750ml ""Ballerina""",0
20,7804920002761,"Jabon liquido Berries y Vainilla 750ml ""Ballerina""",1500
21,7804920350862,"Jabon liquido Hipoalergenico 750ml ""Ballerina""",1500
22,7804920350831,"Jabon liquido Crema humectante 750ml ""Ballerina""",1500
23,7804920055040,"Acondicionador Manzanilla 750ml ""Ballerina""",1500
24,7804920005861,"Shampoo Agua de coco 750ml ""Ballerina""",1500
25,7804920006905,"Shampoo Durazno y Aceite de jojoba 750ml ""Ballerina""",1500
26,7804920008701,"Shampoo Aceite de coco, Argan y Almendra 750ml ''Ballerina''",1500
27,7804920007155,"Shampoo Mango y Aceite de argan 750ml ""Ballerina""Shampoo Mango y Aceite de argan 750ml ""Ballerina""",1500
28,7804920019349,"Shampoo Hipoalergenico 750ml ""Ballerina""",1500
29,7804920003225,"Shampoo Palta y Almendra 750ml ""Ballerina""",1500
30,7804920006172,"Shampoo Maqui, Acai y Te verde 750ml ''Ballerina''",1500
31,7891150067707,"Detergente liquido 500ml ""OMO""",5500
32,7891150000971,"Suavizante Oleo de argan 500ml ""Confort""",0
33,7805045001080,"Jabon Hipoalergenico ""Popeye""",1300
34,7751851005999,"Ambientador aerosol potpourrí de flores 360ml ""Sapolio""",1900
35,7751851005982,"Ambientador aerosol Lavanda silvestre 360ml ""Sapolio""",1900
36,7751851025218,"Ambientador aerosol Manzana y canela 360ml ""Sapolio""",1900
37,7805040313034,"Lustramuebles Biodegradable 250ml ""Virginia""",1800
38,7805300049314,"Raticidas Ratanax Pellets 100grs ""Tanax""",2800
39,7751851559324,"Sacagrasa Limon 650ml ""Sapolio",1900
40,7790520995452,"Desinfectante Multisuperficie 450cc ""Lysoform""",1600
41,7790520998835,"Limpiador liquido aerosol SCJohnson 500cc ""Mr.Musculo""",3200
42,7790520995438,"Desinfectante multisuperficie SCJohnson 500cc ""Lysoform""",0
43,7790520995520,"Limpiador multisuperficie y electrónicos SCJohnson 500cc ""Blem""",0
44,7790520004307,"Limpiador electrónicos y superficies delicadas SCJohnson 235ml ""Blem""",2500
45,7790520025654,"Liquido eléctrico contra mosquitos y zancudos SCJohnson 33ml ""Raid""",7500
46,7790520995476,"Lustramuebles aerosol acero inoxidable y metal limon SCJohnson 360ml ""Blem""",3900
47,7790520996046,"Aromatizante aerosol flores tropicales y coco SCJohnson 270cc ""Glade""",7500
48,7790520996657,"Aromatizante aerosol Aire de playa SCJohnson 270cc ""Glade""",7500
49,7790520995964,"Aromatizante aerosol Limon refrescante SCJohnson 170cc ""Glade""",0
50,7790520995971,"Aromatizante aerosol Lavanda y vainilla SCJohnson 170cc ""Glade""",0
51,7501032924003,"Aromatizante aerosol Campos de lavanda SCJohnson 275cc ""Glade",1900
52,7501032924010,"Aromatizante aerosol Alegria floral y frutos rojos SCJohnson 170cc ""Glade""",0
53,7790520998255,"Aromatizante aerosol Potpourri SCJohnson 360cc ""Glade""",2600
54,7790520998194,"Aromatizante aerosol Placer floral y frutos rojos SCJohnson 360cc ""Glade""",2600
